IO-Safe Capture,Last Updated: 190329
User,IO-Safe Capture,blocks-iterate,blocks-Create Design Option,layers-4000,layers-0,IO-Capture Display Modes,blocks-Make Unique,layers-1000,layers-7000,layers-8000,layers-10000,Drawing-Add Area Tag,layers-5000,Architecture-Stair,standards-Load Materials,Standards-All,standards-Load Styles
dfjtjsnxdfrwcacgqgpk,12
dwygnonunpxefetmowde,,133,24,2,7,,22,4,3,9,1,1,1,1
pgmkdevbzsbsywpizfdw,,7,2,,,9
dvnijqjbouxphcdkdvio,,,23
clzguosbpwkeqznuicyh,160
mgmguocwcwkeauauicic,,,,,,,,,,,1,,,,1,1
sfnrpvjmkxfjhnbekxfj,,1
eptkdteizsqbfwpximdw,,,,,,,,,,,,,,,,,1
