IO-Capture Display Modes,
Date,User
2018-08-09_16:18:13.21,wanrsqjwdptgkljcpwqu,2.1.0,['PCPABW'],600,600,True
2018-08-09_16:20:00.27,wanrsqjwdptgkljcpwqu,2.1.0,"['Arctic_Color', 'Arctic_White']",600,600,True
2018-08-09_16:20:42.26,wanrsqjwdptgkljcpwqu,2.1.0,"['Arctic_Color', 'Arctic_White']",600,600,True
2018-08-09_16:20:55.91,wanrsqjwdptgkljcpwqu,2.1.0,"['Arctic_Color', 'Arctic_White']",600,600,True
2018-08-09_16:21:17.66,wanrsqjwdptgkljcpwqu,2.1.0,"['PCPABW', 'PCPABWFlat', 'PCPAColors']",600,600,True
2018-08-09_16:21:49.87,wanrsqjwdptgkljcpwqu,2.1.0,"['Shaded', 'Rendered']",600,600,True
2018-08-09_16:22:06.30,wanrsqjwdptgkljcpwqu,2.1.0,"['Arctic_Color', 'Arctic_White']",600,600,True
2018-08-09_16:22:30.49,wanrsqjwdptgkljcpwqu,2.1.0,"['Wireframe', 'Shaded', 'Arctic_Color', 'Arctic_White']",600,600,True
2018-08-09_16:27:51.71,wanrsqjwdptgkljcpwqu,2.1.0,"['Wireframe', 'Shaded', 'Rendered', 'Ghosted', 'X-Ray', 'Technical', 'Artistic', 'Pen', 'Arctic', 'Raytraced', 'Arctic-White-BlackLines', 'Arctic_Color', 'Arctic_White', 'Color', 'PCPABW', 'PCPABWFlat', 'PCPAColors', 'PCPAColorsFlat', 'PCPAColorsNolines', 'PCPAColorsNolinesFlat', 'PCPAMaterials', 'PCPAMaterialsFlat', 'PCPAMaterialsShadows', 'PCPAPresentation', 'PCPAWireframe', 'PCPAWireframeColored', 'PCPA_Arctic', 'Sketchup', 'Sketchup-Flat']",600,600,True
2018-08-09_16:30:43.83,wanrsqjwdptgkljcpwqu,2.1.0,['PCPA_Arctic'],600,600,True
2018-08-09_16:30:55.66,wanrsqjwdptgkljcpwqu,2.1.0,['PCPA_Arctic'],600,600,True
2018-08-09_16:31:18.25,wanrsqjwdptgkljcpwqu,2.1.0,['PCPA_Arctic'],600,600,True
2018-08-09_16:32:18.25,wanrsqjwdptgkljcpwqu,2.1.0,['PCPA_Arctic'],600,600,False
2018-08-09_16:32:45.88,wanrsqjwdptgkljcpwqu,2.1.0,['PCPA_Arctic'],600,600,True
2018-08-09_16:33:05.83,wanrsqjwdptgkljcpwqu,2.1.0,['PCPA_Arctic'],600,600,True
2018-08-09_16:39:09.14,wanrsqjwdptgkljcpwqu,2.1.0,['PCPA_Arctic'],600,600,True
2018-08-09_16:39:27.13,wanrsqjwdptgkljcpwqu,2.1.0,"['Arctic-White-BlackLines', 'Arctic_Color', 'Arctic_White', 'PCPAMaterials', 'PCPA_Arctic']",600,600,True
2018-08-09_16:40:42.65,wanrsqjwdptgkljcpwqu,2.1.0,"['Wireframe', 'Shaded', 'Rendered', 'Ghosted', 'X-Ray', 'Technical', 'Artistic', 'Pen', 'Arctic', 'Arctic-White-BlackLines', 'Arctic_Color', 'Arctic_White', 'Color', 'PCPABW', 'PCPABWFlat', 'PCPAColors', 'PCPAColorsFlat', 'PCPAColorsNolines', 'PCPAColorsNolinesFlat', 'PCPAMaterials', 'PCPAMaterialsFlat', 'PCPAMaterialsShadows', 'PCPAPresentation', 'PCPAWireframe', 'PCPAWireframeColored', 'PCPA_Arctic', 'Sketchup', 'Sketchup-Flat']",600,600,True
2018-08-09_16:41:28.86,wanrsqjwdptgkljcpwqu,2.1.0,"['Wireframe', 'Shaded', 'Rendered', 'Ghosted', 'X-Ray', 'Technical', 'Artistic', 'Pen', 'Arctic', 'Arctic-White-BlackLines', 'Arctic_Color', 'Arctic_White', 'Color', 'PCPABW', 'PCPABWFlat', 'PCPAColors', 'PCPAColorsFlat', 'PCPAColorsNolines', 'PCPAColorsNolinesFlat', 'PCPAMaterials', 'PCPAMaterialsFlat', 'PCPAMaterialsShadows', 'PCPAPresentation', 'PCPAWireframe', 'PCPAWireframeColored', 'PCPA_Arctic', 'Sketchup', 'Sketchup-Flat']",600,600,True
2018-08-09_16:43:21.75,wanrsqjwdptgkljcpwqu,2.1.0,"['PCPABW', 'PCPABWFlat', 'PCPAColors']",600,600,True
2018-08-09_16:43:36.94,wanrsqjwdptgkljcpwqu,2.1.0,"['PCPABW', 'PCPABWFlat', 'PCPAColors']",600,600,True
2018-08-09_16:45:41.61,wanrsqjwdptgkljcpwqu,2.1.0,"['PCPABW', 'PCPABWFlat', 'PCPAColors']",600,600,True
2018-08-09_16:55:02.30,wanrsqjwdptgkljcpwqu,2.1.0,"['PCPABW', 'PCPABWFlat', 'PCPAColors']",600,600,True
2018-08-09_17:04:15.65,wanrsqjwdptgkljcpwqu,2.1.0,"['PCPABW', 'PCPABWFlat', 'PCPAColors']",600,600,True
2018-08-27_17:00:09.59,wanrsqjwdptgkljcpwqu,2.1.0,"['PCPABW', 'PCPABWFlat', 'PCPAColors', 'PCPAColorsFlat', 'PCPAColorsFlat-Sec', 'PCPAColorsNolines', 'PCPAColorsNolinesFlat', 'PCPAMaterials', 'PCPAMaterialsFlat', 'PCPAMaterialsShadows', 'PCPAPresentation', 'PCPAWireframe', 'PCPAWireframeColored', 'PCPA_Arctic', 'Section', 'Sketchup', 'Sketchup-Flat']",5100,3300,True
