Blocks-Create Design Option
Date,Time,User,Version
2018-12-03,09:05:34,wanrsqjwdptgkljcpwqu,2.1.0,181203_OPTION_01
2018-12-03,14:56:15,dwygnonunpxefetmowde,2.1.0,02_Ocean Building_Facade_01
2018-12-03,17:14:04,wanrsqjwdptgkljcpwqu,2.1.0,181203_OPTION_01
2018-12-04,12:25:38,nfniggtyhexwjbjeccpu,2.1.0,181204_CONCOURSE CEILING_01
2018-12-04,14:02:56,nfniggtyhexwjbjeccpu,2.1.0,181204_CONCOURSE WALLS_01
2018-12-04,14:03:33,nfniggtyhexwjbjeccpu,2.1.0,181204_CONCOURSE FLOORS_01
2018-12-05,09:55:34,pgmkdevbzsbsywpizfdw,2.1.0,181205_MEZZ COL @ REST ENTRY _ BASE
2018-12-05,18:40:57,pgmkdevbzsbsywpizfdw,2.1.0,181205_SITE OPTION 1
2018-12-07,12:58:35,pgmkdevbzsbsywpizfdw,2.1.0,181207_ORIGINAL DC SITE MODEL
2018-12-10,10:18:45,nfniggtyhexwjbjeccpu,2.1.0,181210_BRIDGE_01
