Architecture-Stair
Date,User,Version
2018-10-01_17:29:05.16,wanrsqjwdptgkljcpwqu,42.0,108.0,"[(46920.910361672926, -637.79025318327103, 0.0), (45802.041640788317, -515.24027424200904, 0.0)]",True
2018-10-01_17:29:30.34,wanrsqjwdptgkljcpwqu,48.0,114.0,"[(46920.910361672926, -637.79025318327103, 0.0), (45802.041640788317, -515.24027424200904, 0.0)]",True
2018-10-04_15:20:05.40,wanrsqjwdptgkljcpwqu,44.0,99.0,"[(41331.373547431627, 1.9198550640130634, 0.0), (40739.533027358353, 1.9198550640130634, 0.0)]",True
2018-10-04_15:25:35.86,wanrsqjwdptgkljcpwqu,48.0,156.0,"[(30666.800908209982, 530.90604865245132, 0.0), (30666.800908209982, 971.52628084178707, 0.0)]",True
2018-10-04_15:26:06.50,wanrsqjwdptgkljcpwqu,48.0,100.0,"[(30666.800908209982, 530.90604865245132, 0.0), (30666.800908209982, 971.52628084178707, 0.0)]",True
2018-10-12_16:19:23.55,dwygnonunpxefetmowde,84.0,228.0,"[(45897.219696420085, -1222.8012055666841, 0.0), (46135.792896248808, -1248.9321895413436, 0.0), (46117.501207466543, -1415.9334294214502, 0.0), (45878.928007637827, -1389.8024454467914, 0.0)]",True
2018-10-12_16:19:54.33,dwygnonunpxefetmowde,84.0,228.0,"[(45897.219696420085, -1222.8012055666841, 0.0), (46135.792896248808, -1248.9321895413436, 0.0), (46126.647051857675, -1332.432809481397, 0.0), (45888.07385202896, -1306.3018255067382, 0.0)]",True
2018-10-12_16:20:11.40,dwygnonunpxefetmowde,84.0,228.0,"[(45897.219696420085, -1222.8012055666841, 0.0), (46135.792896248808, -1248.9321895413436, 0.0), (46125.993777258307, -1338.3971394771152, 0.0), (45887.420577429592, -1312.2661555024563, 0.0)]",True
2018-10-12_16:21:01.41,dwygnonunpxefetmowde,84.0,228.0,"[(45897.219696420085, -1222.8012055666841, 0.0), (46135.792896248808, -1248.9321895413436, 0.0), (46125.993777258307, -1338.3971394771152, 0.0), (45863.563257446716, -1309.6530571049902, 0.0)]",True
2018-10-12_16:21:50.58,dwygnonunpxefetmowde,84.0,120.0,"[(45897.219696420085, -1222.8012055666841, 0.0), (46135.792896248808, -1248.9321895413436, 0.0)]",True
2018-10-18_08:46:31.31,dwygnonunpxefetmowde,44.0,120.0,"[(726.43830852939516, -397.73665683731571, 0.0), (966.43830852939516, -397.73665683731571, 0.0)]",True
