IO-Safe Capture,Last Updated: 190621
User,IO-Safe Capture,blocks-Create Design Option,blocks-iterate,layers-10000,standards-Load Materials,Standards-All,standards-Set Template,Drawing-Add Area Tag,Geometry-Contour At Pt,IO-Export To Render DWG,Geometry-Unfillet,Geometry-Rectify,Help,layers-2000,layers_v1-10000,layers-1000,IO-Batch Capture,layers-7000,layers-0,blocks-Make Unique,Architecture-Stair,legacy_random unselect,IO-Capture Display Modes,IO-Import CAD,Drawing-cut Model,colors-Color To Material
dfjtjsnxdfrwcacgqgpk,162,,27
clzguosbpwkeqznuicyh,93,19,,9,,,,,,,,,,,1
nfniggtyhexwjbjeccpu,,1,19
edmgvtsbvkqpyshxwfzo,,,,2,1,1,,,,,,,,1,,1
sfnrpvjmkxfjhnbekxfj,,,,,,,2,5,6,2,1,1,1
msfqsmhdjwhjdycivgic,,,,,,,,,,,,,,,,,11
dwygnonunpxefetmowde,,4,35,,1,,2,,,,,,,2,,,,2,4,10
fsgxpmwwjxogdnviwnfc,1,2,2,,1,1,,1,1,,,1,,,,,1,,,,1,1,1,2,1,1
qgfxvvgwvnlleutljjmc,,,,,,,,,,,,,,,,,11
wanrsqjwdptgkljcpwqu,,,,1,2,,,,,,,,1,,,,,,,,1
eptkdteizsqbfwpximdw,,,,,,,1
