Blocks-Iterate
Date,Time,User,Version
2019-04-04,10:03:19,dwygnonunpxefetmowde,2.1.0,190328_OPTION_02,190404_OPTION_01A,True
2019-04-04,10:07:17,dwygnonunpxefetmowde,2.1.0,190404_OPTION_01A,190404_OPTION_01B,True
2019-04-04,10:14:51,dwygnonunpxefetmowde,2.1.0,190326_OPTION_01,190404_OPTION_02,True
2019-04-04,10:15:08,dwygnonunpxefetmowde,2.1.0,190326_OPTION_03,190404_OPTION_03,True
2019-04-04,10:16:12,dwygnonunpxefetmowde,2.1.0,190328_OPTION_07,190404_OPTION_04,True
2019-04-04,10:16:45,dwygnonunpxefetmowde,2.1.0,190327_OPTION_04B,190404_OPTION_05A,True
2019-04-04,10:17:10,dwygnonunpxefetmowde,2.1.0,190326_OPTION_05B,190404_OPTION_06,True
2019-04-04,10:36:25,dwygnonunpxefetmowde,2.1.0,Facade_Type_01 - 20',Facade_Type_01 - 10',True
2019-04-04,10:56:19,dwygnonunpxefetmowde,2.1.0,Facade_Type_01 - 20',Facade_Type_01 - 10',True
2019-04-04,11:00:35,dwygnonunpxefetmowde,2.1.0,Facade_Type_01 - 10',Facade_Type_01 - 20',True
2019-04-04,11:12:42,dwygnonunpxefetmowde,2.1.0,Facade_Type_01 - 20',Facade_Type_01 - 26',True
2019-04-04,11:36:03,dwygnonunpxefetmowde,2.1.0,Facade_Type_01 - 20',Facade_Type_01 - 30',True
2019-04-04,12:01:37,dwygnonunpxefetmowde,2.1.0,190404_OPTION_04A,190404_OPTION_04B,True
2019-04-04,12:02:24,dwygnonunpxefetmowde,2.1.0,190404_OPTION_04A,190404_OPTION_04B,True
2019-04-04,15:30:57,dwygnonunpxefetmowde,2.1.0,190404_OPTION_06A,190404_OPTION_06B,True
2019-04-04,16:07:03,dwygnonunpxefetmowde,2.1.0,190404_OPTION_06B,190404_OPTION_06C,True
2019-04-04,17:13:05,dwygnonunpxefetmowde,2.1.0,190404_OPTION_06C,190404_OPTION_06D,True
2019-04-04,18:04:30,dwygnonunpxefetmowde,2.1.0,190404_OPTION_04B,190404_OPTION_04C,True
2019-04-05,10:44:09,dwygnonunpxefetmowde,2.1.0,190405_OPTION_03A1,190405_OPTION_03A2,True
2019-04-05,10:52:25,dwygnonunpxefetmowde,2.1.0,190327_OPTION_06,190405_OPTION_02A1,True
2019-04-05,11:06:45,dwygnonunpxefetmowde,2.1.0,190405-LAYOUT_OPTION_02A1,190405-LAYOUT_OPTION_02A2,True
2019-04-05,11:06:58,dwygnonunpxefetmowde,2.1.0,190405_OPTION_02A1,190405_OPTION_02A2,True
