Blocks-Iterate
Date,User
2018-08-03_18:38:19.42,wanrsqjwdptgkljcpwqu,180802_OPTION_01,,False
2018-08-03_18:40:45.79,wanrsqjwdptgkljcpwqu,180802_OPTION_01,,False
2018-08-03_18:42:21.44,wanrsqjwdptgkljcpwqu,180802_OPTION_01,,False
2018-08-03_18:42:56.37,wanrsqjwdptgkljcpwqu,180802_OPTION_01,,False
2018-08-03_18:43:57.37,wanrsqjwdptgkljcpwqu,180803_OPTION_01,,False
2018-08-03_18:44:15.65,wanrsqjwdptgkljcpwqu,180803_OPTION_02,,False
2018-08-03_18:45:10.11,wanrsqjwdptgkljcpwqu,180803_OPTION_03,,False
2018-08-03_18:46:32.63,wanrsqjwdptgkljcpwqu,180803_OPTION_04,,False
2018-08-03_18:46:50.90,wanrsqjwdptgkljcpwqu,180803_OPTION_05,,False
2018-08-03_18:48:25.83,wanrsqjwdptgkljcpwqu,1807_master_01,,False
2018-08-03_18:49:22.77,wanrsqjwdptgkljcpwqu,1807_master_01,,False
2018-08-03_18:49:49.88,wanrsqjwdptgkljcpwqu,1807_master_01,,False
2018-08-03_18:50:58.71,wanrsqjwdptgkljcpwqu,1807_master_01,,False
2018-08-03_18:51:50.37,wanrsqjwdptgkljcpwqu,1807_master_02,,False
2018-08-03_18:52:39.10,wanrsqjwdptgkljcpwqu,1807_master_01,,False
2018-08-03_18:53:28.51,wanrsqjwdptgkljcpwqu,test,,False
2018-08-03_18:53:45.74,wanrsqjwdptgkljcpwqu,test,,False
2018-08-03_18:54:08.50,wanrsqjwdptgkljcpwqu,test_02,,False
2018-08-03_18:55:36.53,wanrsqjwdptgkljcpwqu,test,,False
2018-08-03_18:56:05.75,wanrsqjwdptgkljcpwqu,test,,False
2018-08-03_18:57:20.49,wanrsqjwdptgkljcpwqu,test,,False
2018-08-03_18:58:08.16,wanrsqjwdptgkljcpwqu,test,,False
2018-08-03_18:58:50.1,wanrsqjwdptgkljcpwqu,test,,False
2018-08-03_19:00:00.35,wanrsqjwdptgkljcpwqu,test3,test4,True
