Blocks-Create Design Option
Date,Time,User,Version
2019-04-04,10:55:56,dwygnonunpxefetmowde,2.1.0,Facade_Type_01 - 20'
2019-04-05,14:36:59,dwygnonunpxefetmowde,2.1.0,FACADE-WINDOW_01
2019-04-05,15:32:11,dwygnonunpxefetmowde,2.1.0,FACADE-WINDOW-FLR_01
2019-04-05,15:32:42,dwygnonunpxefetmowde,2.1.0,FACADE-WINDOW-FLR_02
2019-04-05,15:59:14,dwygnonunpxefetmowde,2.1.0,facade_wrap_01
2019-04-05,16:05:43,dwygnonunpxefetmowde,2.1.0,facade_wrap_02
2019-04-05,16:20:05,dwygnonunpxefetmowde,2.1.0,facade-window_flr-01
2019-04-05,16:22:11,dwygnonunpxefetmowde,2.1.0,facade-window-flr-02
2019-04-05,17:22:27,dwygnonunpxefetmowde,2.1.0,facade-wrap-B01
2019-04-05,17:24:10,dwygnonunpxefetmowde,2.1.0,facade-wrap-B02
2019-04-08,09:11:17,dwygnonunpxefetmowde,2.1.0,facade_wrap_03A
2019-04-08,09:11:27,dwygnonunpxefetmowde,2.1.0,facade_wrap_03B
2019-04-08,11:24:34,dwygnonunpxefetmowde,2.1.0,facade_wrap_04A
2019-04-08,11:24:45,dwygnonunpxefetmowde,2.1.0,facade_wrap_04B
2019-04-08,14:53:45,psskptugjjbgklfiiafj,2.1.0,MO_1
2019-04-08,14:54:10,psskptugjjbgklfiiafj,2.1.0,MO_2
2019-04-08,14:56:26,psskptugjjbgklfiiafj,2.1.0,MO_3
2019-04-08,15:04:23,psskptugjjbgklfiiafj,2.1.0,MO_4
2019-04-08,15:14:06,psskptugjjbgklfiiafj,2.1.0,MO_5
2019-04-08,20:29:24,psskptugjjbgklfiiafj,2.1.0,MO_6
2019-04-09,09:19:08,dwygnonunpxefetmowde,2.1.0,facade-wrap_05A
2019-04-09,09:52:28,dvnijqjbouxphcdkdvio,2.1.0,AR_01
2019-04-09,09:52:56,dvnijqjbouxphcdkdvio,2.1.0,AR_02
2019-04-09,09:58:45,dvnijqjbouxphcdkdvio,2.1.0,AR_03
2019-04-09,10:01:40,dvnijqjbouxphcdkdvio,2.1.0,AR_04
2019-04-09,10:12:23,dvnijqjbouxphcdkdvio,2.1.0,AR_05
2019-04-09,10:12:31,dvnijqjbouxphcdkdvio,2.1.0,AR_06
2019-04-09,10:18:08,dvnijqjbouxphcdkdvio,2.1.0,AR_07
2019-04-09,10:43:38,psskptugjjbgklfiiafj,2.1.0,MO_7
2019-04-09,11:45:13,dvnijqjbouxphcdkdvio,2.1.0,AR_08
2019-04-09,11:45:21,dvnijqjbouxphcdkdvio,2.1.0,AR_09
2019-04-09,12:17:23,dvnijqjbouxphcdkdvio,2.1.0,AR_10
2019-04-09,13:18:31,dvnijqjbouxphcdkdvio,2.1.0,AR_8.5
2019-04-09,13:20:15,dvnijqjbouxphcdkdvio,2.1.0,AR_8.1
2019-04-09,13:21:20,dvnijqjbouxphcdkdvio,2.1.0,AR_8.2
2019-04-09,13:22:33,dvnijqjbouxphcdkdvio,2.1.0,AR_9.1
2019-04-09,13:23:22,psskptugjjbgklfiiafj,2.1.0,MO_NEW
2019-04-09,13:25:37,dvnijqjbouxphcdkdvio,2.1.0,AR_9.2
2019-04-09,13:26:37,dvnijqjbouxphcdkdvio,2.1.0,AR_9.3
2019-04-09,15:22:37,dvnijqjbouxphcdkdvio,2.1.0,AR_X1
2019-04-09,15:36:50,psskptugjjbgklfiiafj,2.1.0,190409_OPTION_01
2019-04-09,16:10:00,dvnijqjbouxphcdkdvio,2.1.0,AR_X2
2019-04-09,16:18:31,pgmkdevbzsbsywpizfdw,2.1.0,190409_WEST ST ENTRY PREFERRED
2019-04-09,17:21:30,psskptugjjbgklfiiafj,2.1.0,MO_8
2019-04-09,17:21:50,psskptugjjbgklfiiafj,2.1.0,MO8.2
2019-04-09,17:41:04,psskptugjjbgklfiiafj,2.1.0,MO_8.3
2019-04-10,10:03:25,dwygnonunpxefetmowde,2.1.0,BUILDINGS_N
2019-04-10,11:12:08,psskptugjjbgklfiiafj,2.1.0,MO_WED
2019-04-10,11:43:01,dvnijqjbouxphcdkdvio,2.1.0,AR_X3
2019-04-10,13:29:28,psskptugjjbgklfiiafj,2.1.0,MO_WED program
2019-04-10,17:30:25,dwygnonunpxefetmowde,2.1.0,PERSHING_SQ_ORIG
2019-04-10,17:55:02,dwygnonunpxefetmowde,2.1.0,PERShING_SQ_NEW01
2019-04-11,10:15:27,psskptugjjbgklfiiafj,2.1.0,DRAPERY
2019-04-11,11:00:44,dvnijqjbouxphcdkdvio,2.1.0,AR_X4
2019-04-11,15:01:18,psskptugjjbgklfiiafj,2.1.0,MOLLY_2
2019-04-11,21:08:56,psskptugjjbgklfiiafj,2.1.0,MO_TURNING TERRACES
2019-04-14,12:29:28,psskptugjjbgklfiiafj,2.1.0,MO_GEM 1
2019-04-15,10:47:41,psskptugjjbgklfiiafj,2.1.0,NOTCH_BASE
2019-04-15,17:14:54,psskptugjjbgklfiiafj,2.1.0,NOTCH_TECTONIC
2019-04-17,12:24:25,psskptugjjbgklfiiafj,2.1.0,MO_CHISEL REV1
2019-04-17,13:56:37,dvnijqjbouxphcdkdvio,2.1.0,MO_CHISEL_REV1_FLOORS
2019-04-18,11:27:07,pgmkdevbzsbsywpizfdw,2.1.0,190418_ENSCAPE_PODIUM
2019-04-18,11:28:48,pgmkdevbzsbsywpizfdw,2.1.0,190418_ENSCAPE_TWIST FACADE 1
2019-04-18,17:05:44,dvnijqjbouxphcdkdvio,2.1.0,190418_OPTION_01
2019-04-22,11:27:10,dvnijqjbouxphcdkdvio,2.1.0,190422_CHISEL ELEV
2019-04-22,11:33:24,dvnijqjbouxphcdkdvio,2.1.0,190422_NOTCH_ELEV
2019-04-22,11:53:53,dvnijqjbouxphcdkdvio,2.1.0,190422_TWIST_ELEV
2019-04-22,11:56:55,dvnijqjbouxphcdkdvio,2.1.0,190422_TWIST_ELEVV
2019-04-22,16:46:54,psskptugjjbgklfiiafj,2.1.0,twist_MO 1
2019-04-22,17:24:39,psskptugjjbgklfiiafj,2.1.0,MO_Twist 2
2019-04-22,17:31:55,psskptugjjbgklfiiafj,2.1.0,3
2019-04-22,19:51:55,psskptugjjbgklfiiafj,2.1.0,TWIST_CURRENT REV 1
2019-04-25,11:11:46,dvnijqjbouxphcdkdvio,2.1.0,AMENITY GLASS_CLOSED
2019-04-25,11:26:44,dvnijqjbouxphcdkdvio,2.1.0,AMENITY GLASS_OPEN
2019-04-25,11:29:25,dvnijqjbouxphcdkdvio,2.1.0,AMENITY GLASS_MOTION
2019-04-25,13:37:47,dvnijqjbouxphcdkdvio,2.1.0,amenity stair
2019-04-25,13:39:08,dvnijqjbouxphcdkdvio,2.1.0,amenity stair
2019-04-25,13:42:01,dvnijqjbouxphcdkdvio,2.1.0,upper railings
2019-04-25,16:11:25,dvnijqjbouxphcdkdvio,2.1.0,stair rounded amenity notch
2019-04-25,16:16:51,dvnijqjbouxphcdkdvio,2.1.0,notch amenity stair
2019-04-25,17:13:08,pgmkdevbzsbsywpizfdw,2.1.0,PODIUM 5TH FLOOR
2019-04-25,17:13:29,pgmkdevbzsbsywpizfdw,2.1.0,PODIUM 4TH FLOOR
2019-04-25,17:14:32,pgmkdevbzsbsywpizfdw,2.1.0,PODIUM 3RD FLOOR
2019-04-25,17:14:48,pgmkdevbzsbsywpizfdw,2.1.0,PODIUM 2ND FLOOR
2019-04-25,17:14:58,pgmkdevbzsbsywpizfdw,2.1.0,PODIUM 1ST FLOOR
2019-04-25,17:24:29,pgmkdevbzsbsywpizfdw,2.1.0,4th floor plan
2019-04-25,17:24:43,pgmkdevbzsbsywpizfdw,2.1.0,3rd floor plan
2019-04-25,17:24:51,pgmkdevbzsbsywpizfdw,2.1.0,2nd floor plan
2019-04-25,17:25:03,pgmkdevbzsbsywpizfdw,2.1.0,ground floor plan
2019-04-26,14:24:14,pgmkdevbzsbsywpizfdw,2.1.0,190426_NOTCH_DETAIL
2019-04-30,10:21:36,pgmkdevbzsbsywpizfdw,2.1.0,190430_ZONING MASSING _ BASE
