Architecture-Stair
Date,Time,User,Version
2019-05-02,15:07:18,dfjtjsnxdfrwcacgqgpk,42.0,120.0,"[(1263.7774337822793, 1077.9749478314452, 4848.0000015403039), (1264.5510160674369, 1078.9334378467197, 4848.8446226584501), (1265.9993407489924, 1080.9333315239865, 4850.5381146633736), (1267.899840575722, 1084.1077614018734, 4853.0762277864287), (1269.4581109886622, 1087.4634577470722, 4855.6143409095184), (1270.6570792510795, 1090.9636548481994, 4858.1524540325827), (1271.4836092157896, 1094.5700038133521, 4860.6905671556451), (1271.9286452475378, 1098.2429927285909, 4863.2286802787103), (1271.9873114384307, 1101.9423795587386, 4865.76679340177), (1271.6589650294031, 1105.6276330475371, 4868.3049065248306), (1270.947203452424, 1109.2583767865744, 4870.8430196479021), (1269.8598249162758, 1112.7948315876638, 4873.3811327709682), (1268.4087429677502, 1116.1982513119538, 4875.9192458940297), (1266.6098559643328, 1119.4313473807331, 4878.4573590170985), (1264.4828728884745, 1122.4586973169044, 4880.9954721401591), (1262.0510974118533, 1125.2471328410522, 4883.5335852632234), (1259.341172575475, 1127.7661032700569, 4886.0716983863113), (1256.3827888829335, 1129.9880102367699, 4888.6098115093691), (1253.2083590050463, 1131.8885100635, 4891.1479246324288), (1249.852662659848, 1133.4467804764399, 4893.6860377554876), (1246.3524655587203, 1134.645748738857, 4896.2241508785519), (1242.7461165935674, 1135.4722787035676, 4898.7622640016143), (1239.0731276783288, 1135.9173147353158, 4901.3003771246913), (1235.3737408481811, 1135.9759809262086, 4903.838490247751), (1231.6884873593826, 1135.6476345171811, 4906.3766033708162), (1228.0577436203455, 1134.9358729402018, 4908.9147164938877), (1224.5212888192561, 1133.8484944040536, 4911.4528296169456), (1221.1178690949664, 1132.3974124555275, 4913.9909427400098), (1217.8847730261868, 1130.5985254521104, 4916.5290558630877), (1214.8574230900158, 1128.4715423762518, 4919.0671689861474), (1212.0689875658677, 1126.0397668996311, 4921.6052821092107), (1209.5500171368631, 1123.3298420632527, 4924.1433952322759), (1207.3281101701498, 1120.371458370711, 4926.6815083553329), (1205.4276103434199, 1117.1970284928241, 4929.219621478398), (1203.8693399304798, 1113.8413321476257, 4931.7577346014778), (1202.6703716680629, 1110.341135046498, 4934.2958477245447), (1201.8438417033524, 1106.7347860813454, 4936.8339608476099), (1201.3988056716041, 1103.0617971661068, 4939.372073970665), (1201.3401394807115, 1099.3624103359591, 4941.9101870937357), (1201.6684858897393, 1095.6771568471604, 4944.4483002168035), (1202.3802474667182, 1092.0464131081235, 4946.986413339876), (1203.4676260028662, 1088.5099583070339, 4949.5245264629339), (1204.9187079513922, 1085.106538582744, 4952.0626395859945), (1206.4271520835409, 1082.3447677353747, 4954.2211307650214), (1207.4623579682675, 1080.7350847632915, 4955.5335842363538), (1207.8510271363477, 1080.1768623837795, 4956.0)]",True
2019-05-09,17:26:48,pgmkdevbzsbsywpizfdw,44.0,84.0,"[(915.38368734430151, 1027.9040262714989, 11093.999999987884), (915.38368734430151, 908.39871841572312, 11177.999999987884)]",True
2019-05-09,17:27:16,pgmkdevbzsbsywpizfdw,44.0,84.0,"[(915.38368734430151, 1027.9040262714989, 11093.999999987884), (915.38368734430151, 908.39871841572312, 11177.999999987884)]",True
2019-05-09,17:27:54,pgmkdevbzsbsywpizfdw,44.0,84.0,"[(915.38368734430151, 908.39871841572312, 11093.999999987884), (915.38368734430151, 1027.9040262714989, 11093.999999987884)]",True
2019-05-09,17:40:55,pgmkdevbzsbsywpizfdw,44.0,189.0,"[(915.38368734430151, 1027.9040262714989, 11093.999999987884), (915.38368734430151, 908.39871841572312, 11093.999999987884)]",True
2019-05-09,17:41:33,pgmkdevbzsbsywpizfdw,44.0,93.0,"[(915.38368734430151, 1027.9040262714989, 11093.999999987884), (915.38368734430151, 908.39871841572312, 11093.999999987884)]",True
2019-05-09,20:23:59,pgmkdevbzsbsywpizfdw,99.25,60.0,"[(1356.2672821452597, 144.00002609782732, 1032.0), (1356.2672821452597, 444.0627860020179, 1032.0)]",True
2019-05-11,23:19:19,pgmkdevbzsbsywpizfdw,96.0,144.0,"[(1296.8760679210172, 443.9084273083804, 1032.0), (1296.3757382484632, 144.16026588520867, 1032.0)]",True
2019-05-11,23:22:22,pgmkdevbzsbsywpizfdw,96.0,72.0,"[(1260.8760679210172, 443.9084273083804, 1032.0), (1260.3757382484632, 144.16026588520867, 1032.0)]",True
2019-05-11,23:23:00,pgmkdevbzsbsywpizfdw,96.0,72.0,"[(1260.6259030847402, 294.03434659679453, 1032.0), (1260.3757382484632, 144.16026588520867, 1032.0)]",True
