Geometry-Contour At Pt
Date,User,Version
2018-09-04_13:27:51.30,wanrsqjwdptgkljcpwqu,2.1.0,3,2272.1284086942615,True
2018-09-04_13:34:51.61,wanrsqjwdptgkljcpwqu,2.1.0,2,1809.7101068209033,True
2018-09-04_13:35:42.2,wanrsqjwdptgkljcpwqu,2.1.0,2,3243.8677592665736,True
2018-09-10_18:57:26.70,wanrsqjwdptgkljcpwqu,2.1.0,1,7345.3864020579576,True
2018-09-10_19:00:12.42,wanrsqjwdptgkljcpwqu,2.1.0,1,1260.0,True
2018-09-10_19:24:04.37,wanrsqjwdptgkljcpwqu,2.1.0,1,1260.0,True
2018-09-10_19:24:49.57,wanrsqjwdptgkljcpwqu,2.1.0,1,7345.5865734057961,True
2018-09-10_19:24:58.48,wanrsqjwdptgkljcpwqu,2.1.0,1,7345.3862581189487,True
2018-09-11_09:34:22.39,wanrsqjwdptgkljcpwqu,2.1.0,1,1499.9999999999998,True
2018-09-11_09:34:31.99,wanrsqjwdptgkljcpwqu,2.1.0,1,7140.0000000000036,True
2018-09-11_10:57:35.63,wanrsqjwdptgkljcpwqu,2.1.0,1,7385.994147905436,True
2018-09-11_11:54:10.93,wanrsqjwdptgkljcpwqu,2.1.0,2,7385.9941479099671,True
2018-09-11_14:30:24.92,wanrsqjwdptgkljcpwqu,2.1.0,1,7385.994223363643,True
2018-09-11_14:33:01.82,wanrsqjwdptgkljcpwqu,2.1.0,672,4404.0315647511134,True
2018-09-11_14:34:47.39,wanrsqjwdptgkljcpwqu,2.1.0,161,2724.0248322317393,True
2018-09-11_14:56:21.49,wanrsqjwdptgkljcpwqu,2.1.0,1,7410.0003324173094,True
2018-09-11_15:01:10.44,wanrsqjwdptgkljcpwqu,2.1.0,5,7689.7372417286706,True
2018-09-11_15:12:12.76,wanrsqjwdptgkljcpwqu,2.1.0,1,7260.0009622605721,True
2018-09-11_15:12:34.42,wanrsqjwdptgkljcpwqu,2.1.0,1,7249.0055780089751,True
2018-09-11_15:19:19.35,wanrsqjwdptgkljcpwqu,2.1.0,1,7373.4068571077214,True
2018-09-11_15:19:38.26,wanrsqjwdptgkljcpwqu,2.1.0,1,7364.6953458865482,True
2018-09-11_16:53:32.63,wanrsqjwdptgkljcpwqu,2.1.0,5,1499.9999999999998,True
2018-09-11_16:57:04.19,wanrsqjwdptgkljcpwqu,2.1.0,1,7542.5795096575866,True
2018-09-11_17:09:22.5,wanrsqjwdptgkljcpwqu,2.1.0,2,7245.0953673506137,True
2018-09-11_17:09:44.87,wanrsqjwdptgkljcpwqu,2.1.0,1,7538.2780793269567,True
2018-09-13_17:35:39.28,wanrsqjwdptgkljcpwqu,2.1.0,1,3447.1860070966013,True
2018-09-14_15:01:58.10,wanrsqjwdptgkljcpwqu,2.1.0,1,4660.7966840737772,True
2018-09-14_15:48:35.10,wanrsqjwdptgkljcpwqu,2.1.0,1,7140.0,True
