Blocks-Create Design Option
Date,Time,User,Version
2019-02-06,14:39:44,untylxqlekpcohkdjobn,2.1.0,190206_CAD Ground Floor Option 3
2019-02-06,14:58:08,untylxqlekpcohkdjobn,2.1.0,190206_Option 3 Floor 2
2019-02-06,15:02:54,untylxqlekpcohkdjobn,2.1.0,190206_Option 3 Floor 3
2019-02-06,15:15:14,untylxqlekpcohkdjobn,2.1.0,190206_OPTION_01
2019-02-06,17:36:26,untylxqlekpcohkdjobn,2.1.0,Plan_CAD_OPTION_03
2019-02-07,09:16:54,dwygnonunpxefetmowde,2.1.0,190207_OPTION_01
2019-02-07,09:23:35,dwygnonunpxefetmowde,2.1.0,190207_CORE-S_01
2019-02-07,09:29:13,dwygnonunpxefetmowde,2.1.0,CORE-E_01
2019-02-07,10:17:54,untylxqlekpcohkdjobn,2.1.0,column grid
2019-02-07,10:20:22,untylxqlekpcohkdjobn,2.1.0,ground floor
2019-02-07,10:30:03,untylxqlekpcohkdjobn,2.1.0,OPTION 3 ROOF PLAN
2019-02-07,10:34:51,untylxqlekpcohkdjobn,2.1.0,OPTION 3 LEVEL 06
2019-02-07,10:53:05,untylxqlekpcohkdjobn,2.1.0,OPTION 3 GROUND FLOOR
2019-02-07,11:02:34,untylxqlekpcohkdjobn,2.1.0,OPTION 3 LEVEL 02
2019-02-07,11:06:30,untylxqlekpcohkdjobn,2.1.0,OPTION 3 LEVEL 02
2019-02-07,11:40:24,untylxqlekpcohkdjobn,2.1.0,04 LEVEL 07
2019-02-07,11:48:34,untylxqlekpcohkdjobn,2.1.0,05 LEVEL 08
2019-02-07,12:06:20,untylxqlekpcohkdjobn,2.1.0,190207_OPTION_03
2019-02-08,18:24:45,dwygnonunpxefetmowde,2.1.0,190208_PHASE-2_OPTION_00
2019-02-11,14:08:01,pgmkdevbzsbsywpizfdw,2.1.0,190211_FACADE VIGNETTE 1
2019-02-12,11:59:03,pgmkdevbzsbsywpizfdw,2.1.0,original facade
2019-02-13,12:49:12,pgmkdevbzsbsywpizfdw,2.1.0,LEVEL 31 CASEMENT WINDOW
2019-02-13,14:20:43,dwygnonunpxefetmowde,2.1.0,TOPO BLOCK
2019-02-13,14:39:41,dwygnonunpxefetmowde,2.1.0,SITE_CB
2019-02-13,14:43:04,dwygnonunpxefetmowde,2.1.0,SITE_BRIDGES
2019-02-13,17:48:07,pgmkdevbzsbsywpizfdw,2.1.0,LEVEL 31 5'6 PANEL
2019-02-14,11:50:32,nfniggtyhexwjbjeccpu,2.1.0,190214_CONCOURSE_01
2019-02-15,10:52:15,pgmkdevbzsbsywpizfdw,2.1.0,ORIGINAL FACADE
2019-02-19,16:26:16,nfniggtyhexwjbjeccpu,2.1.0,190219_STUART STAIR_01
2019-02-21,14:20:07,dwygnonunpxefetmowde,2.1.0,SITE_01
2019-02-21,14:25:40,dwygnonunpxefetmowde,2.1.0,SITE
2019-02-21,15:33:19,dwygnonunpxefetmowde,2.1.0,SITE-TOPO
2019-02-24,09:04:32,dwygnonunpxefetmowde,2.1.0,190224_I_OPT_TOP_A
2019-02-24,09:56:07,dwygnonunpxefetmowde,2.1.0,190224_II-OFF_OPT_TOP_A
2019-02-25,11:47:20,pgmkdevbzsbsywpizfdw,2.1.0,190225_FEATURE WALL OPTION A
2019-02-25,12:15:47,pgmkdevbzsbsywpizfdw,2.1.0,190225_FEATURE WALL OPTION A
2019-02-25,12:19:43,pgmkdevbzsbsywpizfdw,2.1.0,190225_FEATURE WALL OPTION B
2019-02-25,13:24:27,pgmkdevbzsbsywpizfdw,2.1.0,190225_ESCALATOR WALL BASE GLASS
2019-02-25,13:32:11,pgmkdevbzsbsywpizfdw,2.1.0,190225_ESCALATOR WALL OPTION A
2019-02-25,13:47:18,pgmkdevbzsbsywpizfdw,2.1.0,190225_ESCALATOR WALL OPTION B
2019-02-25,14:24:35,pgmkdevbzsbsywpizfdw,2.1.0,190225_ALT- CEILING 6 EQ
2019-02-27,17:34:20,dwygnonunpxefetmowde,2.1.0,190227_Park_Opt_01
2019-02-27,18:15:27,dwygnonunpxefetmowde,2.1.0,TABLE_02
2019-02-27,18:20:01,dwygnonunpxefetmowde,2.1.0,TABLE_03
2019-02-27,18:22:26,dwygnonunpxefetmowde,2.1.0,TABLE_04
2019-02-27,18:22:32,dwygnonunpxefetmowde,2.1.0,COUCH_01
2019-02-28,07:48:10,dwygnonunpxefetmowde,2.1.0,190228_PROG_OPT_02
