Geometry-Contour At Pt
Date,User,Version
2018-10-04_09:13:02.83,wanrsqjwdptgkljcpwqu,2.1.0,2,3241.979989013671,True
2018-10-04_09:13:08.86,wanrsqjwdptgkljcpwqu,2.1.0,2,2686.8168413587082,True
2018-10-04_09:33:00.91,wanrsqjwdptgkljcpwqu,2.1.0,1,1716.1603534940045,True
2018-10-04_20:08:50.24,wanrsqjwdptgkljcpwqu,2.1.0,1,5298.4244053736111,True
2018-10-08_09:30:20.93,wanrsqjwdptgkljcpwqu,2.1.0,1,877.83917665624517,True
2018-10-08_09:45:27.,wanrsqjwdptgkljcpwqu,2.1.0,1,1100.2094874994389,True
2018-10-08_09:46:49.83,wanrsqjwdptgkljcpwqu,2.1.0,1,576.04293767318893,True
2018-10-08_10:26:35.70,wanrsqjwdptgkljcpwqu,2.1.0,2,2142.0,True
2018-10-08_10:26:43.94,wanrsqjwdptgkljcpwqu,2.1.0,2,3226.0,True
2018-10-08_10:26:51.49,wanrsqjwdptgkljcpwqu,2.1.0,1,4714.0,True
2018-10-08_10:26:54.23,wanrsqjwdptgkljcpwqu,2.1.0,1,5334.0,True
2018-10-30_11:42:41.4,wanrsqjwdptgkljcpwqu,2.1.0,1,92.410629272460938,True
2018-10-30_16:22:47.24,wanrsqjwdptgkljcpwqu,2.1.0,1,1064.478271484375,True
2018-10-30_17:32:27.69,wanrsqjwdptgkljcpwqu,2.1.0,1,230215.25169731124,True
2018-10-30_18:07:09.74,wanrsqjwdptgkljcpwqu,2.1.0,1,180900.0,True
2018-10-30_18:07:15.33,wanrsqjwdptgkljcpwqu,2.1.0,1,164300.00000000006,True
2018-10-30_18:07:17.61,wanrsqjwdptgkljcpwqu,2.1.0,1,156300.0,True
2018-10-30_18:07:19.62,wanrsqjwdptgkljcpwqu,2.1.0,1,156300.0,True
2018-10-30_18:07:22.34,wanrsqjwdptgkljcpwqu,2.1.0,1,152150.0,True
2018-10-30_18:07:24.18,wanrsqjwdptgkljcpwqu,2.1.0,1,147999.99999999997,True
2018-10-30_18:07:25.58,wanrsqjwdptgkljcpwqu,2.1.0,1,147999.99999999997,True
2018-10-30_18:07:26.83,wanrsqjwdptgkljcpwqu,2.1.0,1,143850.0,True
2018-10-30_18:07:28.96,wanrsqjwdptgkljcpwqu,2.1.0,1,143850.0,True
2018-10-30_18:07:32.74,wanrsqjwdptgkljcpwqu,2.1.0,1,185050.0,True
2018-10-30_18:07:45.98,wanrsqjwdptgkljcpwqu,2.1.0,1,180900.0,True
2018-10-30_18:07:52.52,wanrsqjwdptgkljcpwqu,2.1.0,1,180900.0,True
2018-10-30_18:07:57.40,wanrsqjwdptgkljcpwqu,2.1.0,1,180900.0,True
2018-10-30_18:08:01.73,wanrsqjwdptgkljcpwqu,2.1.0,1,180900.0,True
