Layer Number,Name,Parent Layer,Display Color,Material,Linetype,Print Color,Print Width
6302,Shrub_Fern 1,6300,179-200-137,,,,
6400,Vehicles,6000,,,,,
6401,0_VEHICLE,6400,,,,,
,,,,,,,
7000,HATCH,,,,,,
7001,0_HATCH,7000,,,,,
,,,,,,,
8000,LIGHTS,,,,,,
8001,0_LIGHT NAME,8000,,,,,
,,,,,,,
9000,ZONING,,,,,,
9001,0_ZONING,9000,,,,,
9002,Property Line,9000,,,,,
9003,Setbacks,9000,,,,,
9004,Sky Exposure Plane,9000,,,,,
