Version 2.0,**Do not change column positions **Layer Numbers must be unique,,,,,,,,
Layer Number,Name,Parent Layer,Display Color,Material,Linetype,Print Color,Print Width,,Version Modified
7008,Program 01_Medium,7000,225-140-130,,,225-140-130,,,
7009,Program 02_Dark,7000,212-190-85,,,212-190-85,,,
7010,Program 02_Light,7000,255-210-136,,,255-210-136,,,
7011,Program 02_Medium,7000,218-199-105,,,218-199-105,,,
7012,Program 03_Dark,7000,156-121-94,,,156-121-94,,,
7013,Program 03_Light,7000,185-161-143,,,185-161-143,,,
7014,Program 03_Medium,7000,168-137-114,,,168-137-114,,,
7015,Public,7000,252-246-218,,,252-246-218,,,
7016,Residential_Dark,7000,172-137-173,,,172-137-173,,,
7017,Residential_Light,7000,197-173-198,,,197-173-198,,,
7018,Residential_Medium,7000,182-151-182,,,182-151-182,,,
7019,Retail_Dark,7000,255-212-119,,,255-212-119,,,
7020,Retail_Medium,7000,254-217-135,,,254-217-135,,,
7021,Roof,7000,240-240-240,,,240-240-240,,,
7022,Service_Dark,7000,210-207-199,,,210-207-199,,,
7023,Service_Medium,7000,215-214-207,,,215-214-207,,,
7024,Soil,7000,99-99-99,,,99-99-99,,,
7025,Terrace,7000,250-250-245,,,250-250-245,,,
7026,Trees,7000,168-191-121,,,168-191-121,,,
7027,Water,7000,240-249-254,,,240-249-254,,,
,,,,,,,,,
8000,8_DRAWING,,109-158-235,,,,,,
8101,Dimensions,8000,,,,0-0-0,,,
8102,Leaders,8000,,,,0-0-0,,,
8103,Text,8000,,,,0-0-0,,,
8104,Hatch,8000,,,,0-0-0,,,
8105,Layout,8000,108-108-108,,,0-0-0,,,2.1
8106,Viewport,8000,220-220-220,,,0-0-0,-1,,2.1
8201,PCP-01,8000,255-255-255,,,0-0-0,0.889,,2.1
8202,PCP-02,8000,255-0-255,,,0-0-0,0.635,,2.1
8203,PCP-03,8000,0-0-255,,,0-0-0,0.3556,,2.1
8204,PCP-04,8000,0-255-255,,,0-0-0,0.1778,,2.1
8205,PCP-05,8000,0-255-0,,,0-0-0,0.127,,2.1
8206,PCP-06,8000,255-255-0,,,0-0-0,0.0762,,2.1
8207,PCP-07,8000,255-0-0,,,0-0-0,0.0508,,2.1
8208,PCP-08,8000,128-128-128,,,0-0-0,0.508,,2.1
8209,PCP-09,8000,192-192-192,,,0-0-0,0.508,,2.1
,,,,,,,,,
9000,9_RENDER,,17-85-204,,,,,,
9101,Lights,9000,,,,,,,
9102,Camera Path,9000,,,,,,,
9103,Target Path,9000,,,,,,,
