Drawing-Add Area Tag
Date,User
2018-07-18_00:01:22.77,wmrjzeeuzjzesinndisi,0
2018-07-18_00:01:47.43,wmrjzeeuzjzesinndisi,0
2018-07-18_00:02:38.15,wmrjzeeuzjzesinndisi,0
2018-07-18_00:03:29.48,wmrjzeeuzjzesinndisi,0
2018-07-18_00:03:40.23,wmrjzeeuzjzesinndisi,0
2018-07-18_00:04:26.68,wmrjzeeuzjzesinndisi,0
2018-07-18_00:04:38.25,wmrjzeeuzjzesinndisi,0
2018-07-18_00:05:06.1,wmrjzeeuzjzesinndisi,139.4094915905828
2018-07-18_00:07:04.57,wmrjzeeuzjzesinndisi,139.4094915905828,0
2018-07-18_00:07:30.98,wmrjzeeuzjzesinndisi,232.38272341295541,1
2018-07-18_00:07:31.4,wmrjzeeuzjzesinndisi,929.53089365182143,1
2018-07-18_00:09:39.7,wmrjzeeuzjzesinndisi,Default,Default,232.38272341295541,2
2018-07-18_00:09:39.12,wmrjzeeuzjzesinndisi,Default,Default,929.53089365182143,2
2018-07-18_00:13:15.24,wmrjzeeuzjzesinndisi,Untitled.3dm,C:\Users\Tim\Desktop\,Default,Default,232.38272341295541,0
2018-07-18_00:13:15.30,wmrjzeeuzjzesinndisi,Untitled.3dm,C:\Users\Tim\Desktop\,Default,Default,929.53089365182143,0
2018-07-18_00:19:25.11,wmrjzeeuzjzesinndisi,C:\Users\Tim\Desktop\,Untitled.3dm,Default,Default,929.53089365182143,0
2018-07-18_00:27:07.72,wmrjzeeuzjzesinndisi,C:\Users\Tim\Desktop\,Untitled.3dm,8_DRAWING::Text,Default,232.38272341295541,0
