colors-Gradient
Date,User
2018-07-19_18:37:51.59,wanrsqjwdptgkljcpwqu,2,True
2018-07-20_16:51:41.42,wanrsqjwdptgkljcpwqu,"(12, 12, 12)","(88, 88, 88)",72,True
2018-07-23_14:11:43.3,wanrsqjwdptgkljcpwqu,"(255, 0, 0)","(253, 255, 0)",101,True
2018-07-23_14:12:05.75,wanrsqjwdptgkljcpwqu,"(255, 0, 0)","(253, 253, 253)",101,False
